name,description,city,start_date,end_date
Martin Gubsch,Forschungsaufenthalt für Dissertationsprojekt,Riohacha,28.10.2022,28.01.2023
Martin Gubsch,Forschungsaufenthalt für Dissertationsprojekt,Santa Marta,28.10.2022,28.01.2023
Martin Gubsch,Forschungsaufenthalt für Dissertationsprojekt,"Potrerillo, Colombia",28.10.2022,28.01.2023
Martin Gubsch,Forschungsaufenthalt für Dissertationsprojekt,Bogotá,28.10.2022,28.01.2023
Anna-Katharina Ferl,Forschungsaufenthalt,"Ithaca, New York",15.01.2023,15.05.2023
Diane Schumann,Forschungsaufenthalt,Berlin,15.05.2023,16.05.2023
Sophia Birchinger,Forschungsaufenthalt,Banjul,31.03.2023,27.05.2023
Dimpho Deleglise,Forschungsaufenthalt,Addis Abeba,15.05.2023,16.06.2023
Núrel Bahí Reitz,Forschungsaufenthalt,Windhoek,03.08.2023,31.10.2023
Núrel Bahí Reitz,Forschungsaufenthalt,Swakopmund,03.08.2023,31.10.2023
Sabine Mannitz,Forschungsaufenthalt,Ottawa,22.09.2023,03.10.2023
Hanna Pfeifer,Forschungsaufenthalt,Erbil,29.04.2023,27.04.2023
Irene Weipert-Fenner,Forschungsaufenthalt,Tunis,28.08.2023,02.09.2023
Anton Peez,Forschungsaufenthalt,Berkeley,01.01.2023,30.08.2023
Anna-Katharina Ferl,Forschungsaufenthalt,"Odense, Denmark",01.10.2023,11.11.2023
Franziska Schreiber,Forschungsaufenthalt,Brussels,01.10.2023,09.11.2023
Sophia Birchinger,Forschungsaufenthalt,"Accra,Ghana",14.11.2023,29.11.2023
Matthias Schwarz,Forschungsaufenthalt,"Brighton, UK",06.11.2023,15.12.2023
Jana Baldus,Forschungsaufenthalt,"Monterrey, CA",20.03.2023,23.04.2023
Sascha Hach,Forschungsaufenthalt,Paris,01.02.2023,30.04.2023
Antonia Witt,Forschungsaufenthalt,"Accra,Ghana",15.08.2023,31.12.2023
